1  -83.000000 0.000000
4 6  18 -49.405737 -Inf
4 6  19 -53.437970 -Inf
4 6  20 -49.537152 -Inf
4 7  8 -44.818274 -Inf
4 7  9 -49.029894 -Inf
4 7  10 -43.638917 -Inf
4 7  11 -27.132068 -Inf
4 7  12 -43.758638 -Inf
4 7  13 -47.445549 -Inf
4 7  14 -48.976110 -Inf
4 7  15 -44.164416 -Inf
4 7  16 -46.253036 -Inf
4 7  17 -36.430116 -Inf
4 7  18 -47.079877 -Inf
4 7  19 -46.765362 -Inf
4 7  20 -48.178367 -Inf
4 8  9 -65.115496 -Inf
4 8  10 -53.580349 -Inf
4 8  11 -27.919632 -Inf
4 8  12 -45.527904 -Inf
4 8  13 -56.379108 -Inf
4 8  14 -55.580877 -Inf
4 8  15 -65.199773 -Inf
4 8  16 -57.904791 -Inf
4 8  17 -38.451494 -Inf
4 8  18 -58.374464 -Inf
4 8  19 -56.301369 -Inf
4 8  20 -57.627907 -Inf
4 9  10 -60.419422 -Inf
4 9  11 -28.230247 -Inf
4 9  12 -46.471888 -Inf
4 9  13 -66.145560 -Inf
4 9  14 -58.283075 -Inf
4 9  15 -60.298810 -Inf
4 9  16 -66.593894 -Inf
4 9  17 -37.780649 -Inf
4 9  18 -70.929915 -Inf
4 9  19 -67.205001 -Inf
4 9  20 -65.390893 -Inf
4 10  11 -27.577050 -Inf
4 10  12 -45.891705 -Inf
4 10  13 -56.165654 -Inf
4 10  14 -53.924375 -Inf
4 10  15 -56.010963 -Inf
4 10  16 -59.581894 -Inf
4 10  17 -37.842445 -Inf
4 10  18 -55.908883 -Inf
4 10  19 -57.733733 -Inf
4 10  20 -57.455167 -Inf
4 11  12 -30.462079 -Inf
4 11  13 -29.897168 -Inf
4 11  14 -30.695498 -Inf
4 11  15 -25.922581 -703.532606
4 11  16 -31.871940 -Inf
4 11  17 -30.213981 -Inf
4 11  18 -31.586362 -Inf
4 11  19 -31.147546 -Inf
4 11  20 -30.664943 -Inf
4 12  13 -47.333708 -Inf
4 12  14 -47.669115 -Inf
4 12  15 -45.919417 -Inf
4 12  16 -46.880322 -Inf
4 12  17 -35.229423 -Inf
4 12  18 -49.505566 -Inf
4 12  19 -47.971080 -Inf
4 12  20 -47.783451 -Inf
4 13  14 -59.499081 -Inf
4 13  15 -61.942739 -Inf
4 13  16 -66.564257 -Inf
4 13  17 -39.586524 -Inf
4 13  18 -61.005289 -Inf
4 13  19 -71.910830 -Inf
4 13  20 -56.590348 -Inf
4 14  15 -53.915552 -Inf
4 14  16 -55.073436 -Inf
4 14  17 -40.383916 -Inf
4 14  18 -51.810292 -Inf
4 14  19 -58.897428 -Inf
4 14  20 -58.072839 -Inf
4 15  16 -58.327287 -Inf
4 15  17 -36.591799 -Inf
4 15  18 -62.150559 -Inf
4 15  19 -63.464659 -Inf
4 15  20 -54.352152 -Inf
4 16  17 -38.113900 -Inf
4 16  18 -58.637916 -Inf
4 16  19 -67.921410 -Inf
4 16  20 -57.480663 -Inf
4 17  18 -37.785927 -Inf
4 17  19 -40.549714 -Inf
4 17  20 -38.348654 -Inf
4 18  19 -63.980436 -Inf
4 18  20 -57.952336 -Inf
4 19  20 -59.560886 -Inf
5  -83.000000 0.000000
5 1 -58.350594 -653.311748
5 2 -33.860003 -487.686127
5 3 -59.999477 -Inf
5 4 -50.970027 -536.975063
5 6 -50.849732 -Inf
5 7 -48.267869 -Inf
5 8 -68.112583 -538.674943
5 9 -76.260648 -Inf
5 10 -50.404910 -Inf
5 11 -28.363477 -177.092420
5 12 -25.050386 -519.038971
5 13 -63.944951 -Inf
5 14 -52.056558 -733.383184
5 15 -69.023302 -Inf
5 16 -58.116646 -Inf
5 17 -21.809475 -512.303366
5 18 -64.557164 -Inf
5 19 -62.855837 -Inf
5 20 -68.659065 -Inf
5 1  2 -28.960886 -1140.997875
5 1  3 -40.665122 -Inf
5 1  4 -37.319897 -1190.286811
5 1  6 -39.604179 -Inf
5 1  7 -35.871829 -Inf
